Lead score,Company Name,CompanyDomain,Trading name,Tags,Street,Postal code,City,Province,Distance,Country,Employees,Employees in group,Branch,Branch code national,Branch name national,Branch code international,Branch name international,Reg no.,Legal entity,Founded,VAT,URL,Phone number,Pages,First visit,Last visit,Sessions,Days,Duration,Comments,Twitter,Facebook,LinkedIn,Youtube,Pinterest,Instagram,GitHub,Dribbble,Xing,Whatsapp,Vimeo,Sales volume,Email address,Link to inbox,stripped_domain
0.5,Talbot Underwriting Services Ltd,aig.com,Yauchtsure,"Hot, Meer dan 6 pagina's bezocht",The Aig Building,EC3M4AB,London,Greater London,330km,GB,11013,325,Business Consulting and Services,82990,,7389,"Business Services, Not Elsewhere Classified",3043304,Corporation,1995,3043304,https://www.aig.com,"4,42076E+16",2,4/15/2026 16:22,4/15/2026 16:23,1,1,60,,,https://www.facebook.com/AIGInsurance,https://www.linkedin.com/company/aig/,https://www.youtube.com/user/AIG,,https://www.instagram.com/aiginsurance,,,,,,£ 98.159.000,nicola.vallance@aig.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/6522954,aig
0.05,Scania CV AB,scania.com,,"Hot, Meer dan 6 pagina's bezocht",Nyköpingsvägen 33-41,15132,Sodertälje,Stockholms Län,1150km,SE,10763,10000,Motor Vehicle Manufacturing,29102,,3711,Motor Vehicles and Passenger Car Bodies,5560840976,Corporation,1962,,https://www.scania.com,46855381000,6,5/20/2026 8:46,5/20/2026 8:48,2,1,110,,,https://www.facebook.com/scaniagroup,https://www.linkedin.com/company/scania/,https://www.youtube.com/user/ScaniaGroup,,https://www.instagram.com/scaniagroup,,,,,,kr 216.129.000.000,contact@scania.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/462923396,scania
0.05,The Hartford Insurance Group Inc,thehartford.com,"Hartford, The",,1 Hartford Plz,6155,Hartford,Connecticut,5709km,US,10476,19100,Financial Services,523940,,6331,"Fire, Marine, and Casualty Insurance",2077692,Corporation,1810,,https://thehartford.com,18602976700,1,2026-12-05 11:44:00,2026-12-05 11:44:00,1,1,5,,,,https://www.linkedin.com/company/the-hartford/,,,,,,,,,$ 26.535.000.000,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/465670486,thehartford
0.15,Santer Reply Spa,reply.com,Santer Spa,,Corso Francia 110,10143,Torino,Piedmont,784km,IT,9914,764,IT Services and IT Consulting,621,,7371,Computer Programming Services,13262400156,Corporation,2000,IT13262400156,https://www.reply.com,3902535761,1,5/20/2026 9:12,5/20/2026 9:14,1,1,35,,,https://www.facebook.com/replyspa,https://www.linkedin.com/company/blue-reply-it/,https://www.youtube.com/c/ReplyGameStudios,,https://www.instagram.com/replygamestudios,,,https://www.xing.com/pages/reply,,,€113.828.957,info@reply.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/131901512,reply
0.05,British United Provident Association Limited(The),bupa.com,Bupa,,1 Angel Court,EC2R7HJ,London,Greater London,330km,GB,9374,100120,Hospitals and Health Care,86900,,8099,"Health and Allied Services, Not Elsewhere Classified",432511,Corporation,1947,432511,https://bupa.com,"4,42077E+16",1,2026-12-05 15:49:00,2026-12-05 15:49:00,1,1,5,,,https://www.facebook.com/BupaUK,https://www.linkedin.com/company/bupa-foundation/,https://www.youtube.com/user/Bupa,,https://www.instagram.com/bupa,,,,,,£ 17.349.000.000,info@bupa.co.uk,https://portal.leadinfo.com/inbox/custom-20260326-20260520/461208078,bupa
0.05,Schindler Deutschland Management AG,schindler.com,,,Seestrasse 55,6052,Hergiswil,Nidwalden,601km,CH,9146,58271,Industrial Machinery Manufacturing,649901,,6159,Miscellaneous business Credit Institutions,ch15030041813,Corporation,2013,CHECH15030041813,https://www.schindler.com,41414453232,1,4/15/2026 10:18,4/15/2026 10:18,1,1,25,,,https://www.facebook.com/SchindlerElevatorCorp,https://www.linkedin.com/company/schindler-group/,https://www.youtube.com/user/SchindlerElevatorNA,,https://www.instagram.com/schindlerelevator_na,,,,,,Fr. 965.671,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/109435050,schindler
0.25,"Toyota Motor North America, Inc.",toyota.com,,,6565 Headquarters DR,75024,Plano,Texas,7892km,US,8991,8950,Motor Vehicle Manufacturing,541611,,3711,Motor Vehicles and Passenger Car Bodies,330724667,Corporation,2006,,https://www.toyota.com,14692924000,3,2026-09-04 10:23:00,5/15/2026 11:03,3,3,15,,,https://www.facebook.com/toyota,https://www.linkedin.com/company/toyota-north-america/,https://www.youtube.com/user/ToyotaUSA,,https://www.instagram.com/toyotausa,,,,,,$ 12.266.863.044,dmca@toyota.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/459642889,toyota
0%,University of Pittsburgh,pitt.edu,,,4200 5Th Ave,15260,Pittsburgh,Allegheny,6265km,US,8583,99,Higher Education,561110,,8221,"Colleges, Universities, and Professional Schools",,Corporation,2011,,https://www.pitt.edu,14126244141,1,5/14/2026 0:13,5/14/2026 0:13,1,1,5,,,https://www.facebook.com/upitt,https://www.linkedin.com/company/university-of-pittsburgh-school-of-dental-medicine/,https://www.youtube.com/user/pittweb,,https://www.instagram.com/pittofficial,,,,,,$ 1.379.901,vpmccarthy@pitt.edu,https://portal.leadinfo.com/inbox/custom-20260326-20260520/166518206,pitt
0.25,Hse Eastern Region,hse.ie,,,"DR Steevens' Hospital, Steevens Lane",D08,Dublin,Dublin,758km,IE,8500,8500,"Physical, Occupational and Speech Therapists",8620,,8011,Offices and Clinics of Doctors of Medicine,,,1970,,https://www.hse.ie,35312408787,1,2026-05-05 19:52:00,2026-05-05 19:52:00,1,1,15,,https://www.twitter.com/HSELive,https://www.facebook.com/HSElive,https://www.linkedin.com/company/health-service-executive/,https://www.youtube.com/channel/UCoNNhGGAYkdavsSXp1iVzCg,,https://www.instagram.com/irishhealthservice,https://www.github.com/HSEIreland/covid-tracker-app,,https://www.xing.com/pages/tristaraustriagmbh,,,€172.101,ddpo.dne@hse.ie,https://portal.leadinfo.com/inbox/custom-20260326-20260520/122238555,hse
0.05,"Expedia Group, Inc.",expediagroup.com,Expedia Group,,1111 Expedia Group Way W,98119,Seattle,Washington,7864km,US,8398,16500,Internet Publishing,561110,,4724,Travel Agencies,3956616,Corporation,1996,,https://www.expediagroup.com,12064817200,2,5/19/2026 9:58,5/19/2026 9:59,1,1,50,,,,https://www.linkedin.com/company/expedia-group-partnerships/,,,,,,,,,$ 13.691.000.000,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/199193326,expediagroup
0.1,Ministerie van Financiën,belastingdienst.nl,Belastingdienst,"Hot, Meer dan 6 pagina's bezocht",Laan van Westenenk 490,7334DS,Apeldoorn,Gelderland,95km,NL,8309,0,Government Administration,84110,General public administration,9199,"General Government, Not Elsewhere Classified",22928340,Local Government Body,2008,,https://www.belastingdienst.nl,31555385385,2,2026-12-05 12:49:00,2026-12-05 13:34:00,2,1,60,,,https://www.facebook.com/belastingdienst.startende.ondernemers,https://www.linkedin.com/company/belastingdienst/,,,https://www.instagram.com/belastingdienstondernemers,,,https://www.xing.com/pages/madisonparkerinternational,,,,info@belastingdienst.nl,https://portal.leadinfo.com/inbox/custom-20260326-20260520/125130533,belastingdienst
0.05,Istituto Nazionale Della Previdenza Sociale,inps.it,,,Via Del Proconsolo 10,50122,Firenze,Tuscany,1023km,IT,8304,0,Government Administration,88,,8322,Individual and Family Social Services,2.121.151.001,,1898,IT02121151001,https://www.inps.it,3906164164,1,2026-12-05 13:21:00,2026-12-05 13:21:00,1,1,35,,,https://www.facebook.com/INPS.PerLaFamiglia,https://www.linkedin.com/company/inps-official/,https://www.youtube.com/user/INPSComunica,,https://www.instagram.com/inps_social,,,,,,,responsabileprotezionedati@postacert.inps.gov.it,https://portal.leadinfo.com/inbox/custom-20260326-20260520/132003640,inps
0%,Vanderbilt University Medical Center,vumc.org,Medical Center East Pharmacy,,1211 Medical Center DR,37232,Nashville,Tennessee,7027km,US,8012,19000,Medical Practices,622110,,8062,General Medical and Surgical Hospitals,792687,Corporation,2015,,https://www.vumc.org,16153225000,1,2026-04-05 21:04:00,2026-04-05 21:04:00,1,1,35,,https://twitter.com/vumchealth/,https://www.facebook.com/VanderbiltHealth,https://www.linkedin.com/company/vanderbilt-eye-institute/,https://www.youtube.com/user/vanderbilthealth,,https://www.instagram.com/vanderbilthealth,,,,,,$ 6.903.583.232,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/175359169,vumc
0.75,Mott Macdonald Ireland Limited,mottmac.com,,"Hot, Meer dan 6 pagina's bezocht",North Block,,Dublin,Dublin,754km,IE,7991,157,Civil Engineering,7112,,8711,Engineering Services,53280,Corporation,1983,,https://www.mottmac.com,35312916700,4,2026-07-04 9:40:00,5/13/2026 10:37,4,3,50,,,https://www.facebook.com/mottmacdonaldgroup,https://www.linkedin.com/company/mott-macdonald/,https://www.youtube.com/user/mottmacdonaldgroup,,https://www.instagram.com/mottmacgroup,,,,,,€28.467.005,privacy@mottmac.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/21684288,mottmac
0.75,Mercedes-Benz Group AG,mercedes-benz.com,Mercedes-Benz Konzern,"Hot, Meer dan 6 pagina's bezocht, Desk Booking pagina, Contact",Mercedesstr. 120,70372,Stuttgart,Baden-Wurttemberg,470km,DE,7836,179291,Motor Vehicle Parts Manufacturing,2483,Vehicle Construction Companies,3714,Motor Vehicle Parts and Accessories,HRB 19360,Corporation,1926,DE812526315,https://www.mercedes-benz.com,"4,97112E+16",1,3/30/2026 12:26,3/30/2026 12:26,1,1,35,,https://twitter.com/mercedesbenz/,https://www.facebook.com/MercedesBenzGr,https://www.linkedin.com/company/mercedes-benz_ag/,https://youtube.com/user/MercedesBenzGR,https://www.pinterest.com/mercedesbenz/,https://www.instagram.com/mercedesbenz/,,,https://www.xing.com/pages/mercedes-benzconnectivityservicesgmbh,,,€145.594.000.000,oldtimer@mercedes-benz.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/140377353,mercedes-benz
0.65,Samsung Sds Europe Limited,samsungsds.com,Samsung Sds Europe,"Hot, Meer dan 6 pagina's bezocht, Contact",5 the Heights,KT130NY,Weybridge,Surrey,359km,GB,7319,571,IT System Operations and Maintenance,62020,,7379,"Computer Related Services, Not Elsewhere Classified",3964307,Corporation,2000,3964307,http://www.samsungsds.com,"4,41933E+16",2,2026-03-04 12:00:00,2026-12-05 15:04:00,2,2,10,,,,https://www.linkedin.com/company/samsung-sds/,,,,,,https://www.xing.com/pages/samsungsdsg,,,£ 337.190.000,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/6551258,samsungsds
0%,Next Properties Ltd,next.co.uk,,,Next Plc,LE194AT,Leicester,Leicestershire,410km,GB,7211,3,Leasing Real Estate,68209,,6519,"Lessors of Real Property, Not Elsewhere Classified",2570546,Corporation,1990,2570546,https://www.next.co.uk,"4,48008E+16",1,2026-03-04 12:00:00,2026-03-04 12:00:00,1,1,5,,,https://www.facebook.com/nextofficial,,https://www.youtube.com/user/nextshopping,https://www.pinterest.com/nextofficial,https://www.instagram.com/nextofficial,,,,,,£ 110.517,info@next.co.uk,https://portal.leadinfo.com/inbox/custom-20260326-20260520/6510364,next
0.7,Segula Matra Automotive,segulatechnologies.com,Segula Matra Automotive,"Hot, Meer dan 6 pagina's bezocht",103 Boulevard de la Mission Marchand,92400,Courbevoie,Hauts-De-Seine,370km,FR,6656,1000,Civil Engineering,7112B,,8711,Engineering Services,844926311,Corporation,2018,FR84492631100318,https://www.segulatechnologies.com,33141394400,4,2026-03-04 10:41:00,4/17/2026 11:48,4,2,140,,,https://www.facebook.com/SEGULATechnologies,https://www.linkedin.com/company/segula-technologies/,https://www.youtube.com/user/segulatechnologies14,,https://www.instagram.com/segula_technologies,,,,,,250755463,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/66905826,segulatechnologies
0.3,Cambridge Enterprise Limited,cam.ac.uk,,Hot,3 Charles Babbage Road,CB30GT,Cambridge,Cambridgeshire,316km,GB,6553,125,Higher Education,70229,,8742,Management Consulting Services,1069886,Corporation,2016,1069886,https://www.cam.ac.uk,"4,41224E+16",1,4/14/2026 12:13,4/14/2026 12:13,1,1,15,,,https://www.facebook.com/cambridge.university,https://www.linkedin.com/company/cambridgelaw/,https://www.youtube.com/user/CambridgeUniversity,,https://www.instagram.com/cambridgeuniversity,,,,,,£ 4.025.160,contact@philanthropy.cam.ac.uk,https://portal.leadinfo.com/inbox/custom-20260326-20260520/5685106,cam
0.25,Manchester N H S,mft.nhs.uk,,Room Booking pagina,Wythenshawe Health Care Centre,M224PJ,Manchester,"Manchester, Greater Manchester",498km,GB,6444,200,Hospitals and Health Care,84120,,9431,Administration of Public Health Programs,,,2012,1612915,https://mft.nhs.uk,"4,43003E+16",1,4/27/2026 12:29,4/27/2026 12:29,1,1,25,,https://www.twitter.com/MFTnhs,https://www.facebook.com/MFTnhs,https://www.linkedin.com/company/nhs-mft-trust/,,,,,,https://www.xing.com/pages/tristaraustriagmbh,,,£ 4.510.477,anna.mcewen@mft.nhs.uk,https://portal.leadinfo.com/inbox/custom-20260326-20260520/132821221,mft
0.1,Xylem Water Solutions Deutschland GmbH,xylem.com,,,Bayernstr. 11,30855,Langenhagen,Niedersachsen,349km,DE,6297,509,Industrial Machinery Manufacturing,2670,"Pumps, Wholesalers",3561,Pumps and Pumping Equipment,HRB 220956,Corporation,2023,,https://www.xylem.com,4951178000,1,4/13/2026 11:47,4/13/2026 11:47,1,1,15,,,https://www.facebook.com/xylemincorporated,https://www.linkedin.com/company/wedeco-gmbh-germany-/,https://www.youtube.com/user/XylemIncorporated,,https://www.instagram.com/xylem_inc,,,,,,154952755,info@xylem.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/21143807,xylem
0.5,Ewt Holdings III Corp.,xylem.com,,"Hot, Meer dan 6 pagina's bezocht",210 6Th Ave Ste 3300,15222,Pittsburgh,Allegheny,6268km,US,6297,123,Industrial Machinery Manufacturing,561110,,3589,"Service Industry Machinery, Not Elsewhere Classified",5411042,Corporation,2013,,https://www.xylem.com,17247720044,12,4/21/2026 15:00,2026-08-05 8:20:00,3,2,760,,,https://www.facebook.com/xylemincorporated,https://www.linkedin.com/company/xylem-inc/,https://www.youtube.com/user/XylemIncorporated,,https://www.instagram.com/xylem_inc,,,,,,$ 25.356.661,info@xylem.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/460540445,xylem
0.05,Alvarez & Marsal Benelux B.V.,alvarezandmarsal.com,Alvarez & Marsal Dispute Analysis & Forensics,"Hot, Meer dan 6 pagina's bezocht",Zuidplein 118,1077XV,Amsterdam,Noord-Holland,56km,NL,6170,2,Holding Companies,64210,Financial holdings,6719,"Offices of Holding Companies, Not Elsewhere Classified",34283629,Corporation,2007,,https://www.alvarezandmarsal.com,31207671111,9,2026-07-04 11:57:00,4/30/2026 15:56,3,2,285,,,https://www.facebook.com/alvarezandmarsal,https://www.linkedin.com/company/162399/,https://www.youtube.com/user/AlvarezMarsal,,https://www.instagram.com/alvarezandmarsal_life,,,,,,€298.031,talentacquisition@alvarezandmarsal.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/421226,alvarezandmarsal
0.1,Rolex SA,rolex.com,,,Rue François-Dussaud 3-5-7,1227,Les Acacias,Genève,638km,CH,5908,6500,Retail Luxury Goods and Jewelry,265201,,3873,"Watches, Clocks, Clockwork Operated Devices, and Parts",105962823,Corporation,1905,CHE105962823,https://www.rolex.com,41223022200,1,4/13/2026 17:04,4/13/2026 17:04,1,1,15,,,https://www.facebook.com/rolex,https://www.linkedin.com/company/rolex/,,https://www.pinterest.com/rolex,https://www.instagram.com/rolex,,,,,,Fr. 746.811.000,info@rolex.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/108705686,rolex
0.75,University College London,ucl.ac.uk,Ucl,"Hot, Meer dan 6 pagina's bezocht, Contact, MS Places",Gower Street,WC1E6BT,London,Greater London,333km,GB,5687,292,Higher Education,85421,,8221,"Colleges, Universities, and Professional Schools",rc000631,Corporation,1948,rc000631,https://www.ucl.ac.uk,"4,42077E+16",2,4/17/2026 15:48,4/17/2026 15:48,1,1,50,,,https://www.facebook.com/uclofficial,https://www.linkedin.com/company/ucl-institute-of-ophthalmology/,,,https://www.instagram.com/ucl,,,,,,£ 2.074.600.000,office@mssl.ucl.ac.uk,https://portal.leadinfo.com/inbox/custom-20260326-20260520/4823438,ucl
0%,Groupe Bpce Sports,groupebpce.com,,,50 Avenue Pierre Mendes France,75013,Paris,Saint-Denis,372km,FR,5672,1,Banking,9312Z,,7999,"Amusement and Recreation Services, Not Elsewhere Classified",423300458,Cooperative,1973,FR42330045800027,https://www.groupebpce.com,33158404142,2,2026-02-04 10:59:00,4/23/2026 10:16,2,2,50,,,,https://www.linkedin.com/company/bpce/,https://www.youtube.com/user/GroupeBPCE,,,,,,,,€186.559,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/55240171,groupebpce
0.15,Beckhoff Automation GmbH & Co. KG,beckhoff.com,,"Hot, Desk Booking pagina",Hulshorstweg 20,33415,Verl,Gütersloh,261km,DE,5330,3187,Automation Machinery Manufacturing,777,Electricians,3571,Electronic Computers,HRA 7075,Corporation,2016,,https://www.beckhoff.com,"4,92713E+16",1,4/21/2026 16:43,4/21/2026 16:43,1,1,5,,,https://www.facebook.com/beckhoff.nl,https://www.linkedin.com/company/beckhoff-automation/,https://www.youtube.com/channel/UCsFjcdFPuXDZlXDwi5jjkuQ,,https://www.instagram.com/beckhoff_tw,,,,,https://www.vimeo.com/features/video-analytics,€1.130.000.000,info@beckhoff.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/78205630,beckhoff
0.15,La Trobe University,ltufc.org,La Trobe Sydney College,,L3 David Mayers Building Kingsbury DR,3083,Bundoora,Victoria,,AU,5241,5241,Higher Education,,,8221,"Colleges, Universities, and Professional Schools",64804735113,,1967,,https://ltufc.org,61394792514,3,2026-09-04 7:33:00,2026-09-04 7:34:00,1,1,45,,,https://www.facebook.com/latrobe,https://www.linkedin.com/company/la-trobe-university-football-club/,https://www.youtube.com/user/latrobeuniaustralia,,https://www.instagram.com/latrobeuni,,,,,,$ 817.115.000,internationalagents@latrobe.edu.au,https://portal.leadinfo.com/inbox/custom-20260326-20260520/465564279,ltufc
0.5,Caisse des Depots et Consignations,caissedesdepots.fr,Cdc,"Hot, Meer dan 6 pagina's bezocht",56 Rue de Lille,75007,Paris 7,Saint-Denis,372km,FR,4948,5000,Banking,6419Z,,6021,National Commercial Banks,180020026,Government Body,1982,FR18002002600019,https://www.caissedesdepots.fr,33556113773,2,2026-03-04 12:16:00,2026-03-04 12:16:00,1,1,10,,,https://www.facebook.com/CaissedesDepots,https://www.linkedin.com/company/groupe-caisse-des-dépôts/,https://www.youtube.com/channel/UCY5Dvh36sBz8SoLSdw4ddIg,,https://www.instagram.com/caissedesdepots,,,,,,1147148493,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/50576922,caissedesdepots
0.1,East Calder Medical Practice,nhslothian.scot,,,147 Main Street,EH530EW,East Calder,West Lothian,697km,GB,4932,25,Hospitals and Health Care,86210,,8011,Offices and Clinics of Doctors of Medicine,,Partnership of Unknown Type,1994,,https://www.nhslothian.scot,"4,41507E+16",1,2026-12-05 16:52:00,2026-12-05 16:55:00,1,1,45,,,https://www.facebook.com/lothian.nhs,https://www.linkedin.com/company/nhs-lothian-pharmacy/,https://www.youtube.com/user/NHSLothian,,https://www.instagram.com/NHS_Lothian,,,,,https://www.vimeo.com/nhslothian,£ 386.626,,https://portal.leadinfo.com/inbox/custom-20260326-20260520/458932610,nhslothian
0.1,Databricks B.V.,databricks.com,Databricks,"Hot, Meer dan 6 pagina's bezocht",Barbara Strozzilaan 350,1083HN,Amsterdam,Noord-Holland,56km,NL,4846,284,IT System Custom Software Development,62100,Support activities in the field of information technology,7371,Computer Programming Services,51208121,Corporation,2017,,https://www.databricks.com,31208097220,7,4/30/2026 15:45,4/30/2026 15:57,1,1,135,,,https://www.facebook.com/pages/Databricks/560203607379694,https://www.linkedin.com/company/databricks/,,,,https://www.github.com/apache/spark,,,,,529767,info@databricks.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/147581,databricks
0.7,Michael Page International Inc.,michaelpage.com,,"Hot, Meer dan 6 pagina's bezocht, linkedin",1156 Avenue of the Americas,10036,New York,New York,5864km,US,4761,600,Personal Care Services,561311,,7361,Employment Agencies,2813730,Corporation,1997,,https://www.michaelpage.com,12158617050,1,2026-07-05 1:00:00,2026-07-05 1:00:00,1,1,5,,,https://www.facebook.com/michaelpageusa,https://www.linkedin.com/company/3476/,https://www.youtube.com/user/michaelpagena,,https://www.instagram.com/pagegroup_usa,,,,,,$ 39.614.450,websites@michaelpage.com,https://portal.leadinfo.com/inbox/custom-20260326-20260520/459788340,michaelpage
